[2025-07-31T17:47:37.998Z] ERROR: ERROR: POST /api/admin/login | User: Guest | AccountType: N/A | Message: handleErrorResponse is not a function
[2025-09-01T00:52:15.882Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3aa93d47721967667e | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.876Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a70792ac6e98e8540 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.901Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a46ffd362b8167a21 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.902Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3ad071118891a2634c | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.953Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a7f3ae8687c253d4a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.970Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a70792ac6e98e8542 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.978Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a728438cdc7369d99 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.990Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a46ffd362b8167a23 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.017Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a7f3ae8687c253d4a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.007Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a9841720bc89c9498 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.991Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a728438cdc7369d93 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.023Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3aa93d477219676678 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.038Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a46ffd362b8167a23 | AccountType: user | Message: next is not a function
